Source Article,Article Title,Link
Ai (chimpanzee),Species,/wiki/Species
Ai (chimpanzee),chimpanzee,/wiki/Chimpanzee
Ai (chimpanzee),Ayumu (chimpanzee),/wiki/Ayumu_(chimpanzee)
Ai (chimpanzee),western chimpanzee,/wiki/Western_chimpanzee
Ai (chimpanzee),Primate Research Institute,/wiki/Primate_Research_Institute
Ai (chimpanzee),Kyoto University,/wiki/Kyoto_University
Ai (chimpanzee),Tetsuro Matsuzawa,/wiki/Tetsuro_Matsuzawa
Ai (chimpanzee),cognition,/wiki/Cognition
Ai (chimpanzee),Guinean Forests of West Africa,/wiki/Guinean_Forests_of_West_Africa
Ai (chimpanzee),Japan,/wiki/Japan
Ai (sloth),Conservation status,/wiki/Conservation_status
Ai (sloth),Least Concern,/wiki/Least_Concern
Ai (sloth),IUCN 3.1,/wiki/IUCN_Red_List
Ai (sloth),Scientific classification,/wiki/Taxonomy_(biology)
Ai (sloth),Eukaryota,/wiki/Eukaryote
Ai (sloth),Animalia,/wiki/Animal
Ai (sloth),Chordata,/wiki/Chordate
Ai (sloth),Mammalia,/wiki/Mammal
Ai (sloth),Pilosa,/wiki/Pilosa
Ai (sloth),Bradypodidae,/wiki/Three-toed_sloth
Ai (album),verification,/wiki/Wikipedia:Verifiability
Ai (album),improve this article,/wiki/Special:EditPage/Seraphim_(band)
Ai (album),adding citations to reliable sources,/wiki/Help:Referencing_for_beginners
Ai (album),Learn how and when to remove this message,/wiki/Help:Maintenance_template_removal
Ai (album),Taipei,/wiki/Taipei
Ai (album),Taiwan,/wiki/Taiwan_Province
Ai (album),Power metal,/wiki/Power_metal
Ai (album),Quinn Weng,/wiki/Quinn_Weng
Ai (album),Chinese,/wiki/Chinese_language
Ai (album),pinyin,/wiki/Pinyin
A.I. Artificial Intelligence,Artificial intelligence (disambiguation),/wiki/Artificial_intelligence_(disambiguation)
A.I. Artificial Intelligence,Ai (disambiguation),/wiki/Ai_(disambiguation)
A.I. Artificial Intelligence,Steven Spielberg,/wiki/Steven_Spielberg
A.I. Artificial Intelligence,Ian Watson,/wiki/Ian_Watson_(author)
A.I. Artificial Intelligence,Supertoys Last All Summer Long,/wiki/Supertoys_Last_All_Summer_Long
A.I. Artificial Intelligence,Brian Aldiss,/wiki/Brian_Aldiss
A.I. Artificial Intelligence,Kathleen Kennedy,/wiki/Kathleen_Kennedy_(producer)
A.I. Artificial Intelligence,Bonnie Curtis,/wiki/Bonnie_Curtis
A.I. Artificial Intelligence,Haley Joel Osment,/wiki/Haley_Joel_Osment
A.I. Artificial Intelligence,Jude Law,/wiki/Jude_Law
A.I. Rising,Sebastian Cavazza,/wiki/Sebastian_Cavazza
A.I. Rising,Stoya,/wiki/Stoya
A.I. Rising,Kirsty Besterman,/wiki/Kirsty_Besterman
A.I. Rising,Grindstone Entertainment Group,/wiki/Grindstone_Entertainment_Group
A.I. Rising,USA,/wiki/United_States
A.I. Rising,Lionsgate Home Entertainment,/wiki/Lionsgate_Home_Entertainment
A.I. Rising,Serbia,/wiki/Serbia
A.I. Rising,English,/wiki/English_language
A.I. Rising,English-language,/wiki/English_language
A.I. Rising,Serbian,/wiki/Serbia
AI: The Somnium Files,Developer(s),/wiki/Video_game_developer
AI: The Somnium Files,Spike Chunsoft,/wiki/Spike_Chunsoft
AI: The Somnium Files,Publisher(s),/wiki/Video_game_publisher
AI: The Somnium Files,Director(s),/wiki/Video_game_creative_director
AI: The Somnium Files,Kotaro Uchikoshi,/wiki/Kotaro_Uchikoshi
AI: The Somnium Files,Producer(s),/wiki/Video_game_producer
AI: The Somnium Files,Designer(s),/wiki/Video_game_designer
AI: The Somnium Files,Programmer(s),/wiki/Video_game_programmer
AI: The Somnium Files,Artist(s),/wiki/Video_game_artist
AI: The Somnium Files,Yūsuke Kozaki,/wiki/Y%C5%ABsuke_Kozaki
American Idol,American Idol season 22,/wiki/American_Idol_season_22
American Idol,Reality competition,/wiki/Reality_competition
American Idol,Simon Fuller,/wiki/Simon_Fuller
American Idol,Pop Idol,/wiki/Pop_Idol
American Idol,Ryan Seacrest,/wiki/Ryan_Seacrest
American Idol,Brian Dunkleman,/wiki/Brian_Dunkleman
American Idol,Paula Abdul,/wiki/Paula_Abdul
American Idol,Simon Cowell,/wiki/Simon_Cowell
American Idol,Randy Jackson,/wiki/Randy_Jackson
American Idol,Kara DioGuardi,/wiki/Kara_DioGuardi
Artificial intelligence (disambiguation),artificial intelligence,https://en.wiktionary.org/wiki/artificial_intelligence
Artificial intelligence (disambiguation),Artificial intelligence,/wiki/Artificial_intelligence
Artificial intelligence (disambiguation),Artificial Intelligence (EP),/wiki/Artificial_Intelligence_(EP)
Artificial intelligence (disambiguation),Artificial Intelligence (John Cale album),/wiki/Artificial_Intelligence_(John_Cale_album)
Artificial intelligence (disambiguation),Artificial Intelligence (series),/wiki/Artificial_Intelligence_(series)
Artificial intelligence (disambiguation),Artificial Intelligence (compilation album),/wiki/Artificial_Intelligence_(compilation_album)
Artificial intelligence (disambiguation),the Wynona Riders,/wiki/The_Wynona_Riders
Artificial intelligence (disambiguation),Funk All Y'all,/wiki/Funk_All_Y%27all
Artificial intelligence (disambiguation),Oh My My,/wiki/Oh_My_My_(album)
Artificial intelligence (disambiguation),Artificial Intelligence (book),/wiki/Artificial_Intelligence_(book)
artificial intelligence,Wikipedia,/wiki/Wikipedia
artificial intelligence,artificial intelligence,https://en.wikipedia.org/wiki/artificial_intelligence
artificial intelligence,Wikipedia,https://en.wikipedia.org/wiki/artificial_intelligence
artificial intelligence,Coined,/wiki/Appendix:Glossary#coinage
artificial intelligence,John McCarthy,https://en.wikipedia.org/wiki/John_McCarthy_(computer_scientist)
artificial intelligence,Dartmouth Summer Research Project on Artificial Intelligence,https://en.wikipedia.org/wiki/Dartmouth_Summer_Research_Project_on_Artificial_Intelligence
artificial intelligence,file,/wiki/File:LL-Q1860_(eng)-Vininn126-artificial_intelligence.wav
artificial intelligence,artificial,/wiki/artificial#English
artificial intelligence,intelligence,/wiki/intelligence#English
artificial intelligence,countable,/wiki/Appendix:Glossary#countable
Artificial Intelligence (EP),EP,/wiki/Extended_play
Artificial Intelligence (EP),Tom Cardy,/wiki/Tom_Cardy
Artificial Intelligence (EP),home studio,/wiki/Home_studio
Artificial Intelligence (EP),Genre,/wiki/Music_genre
Artificial Intelligence (EP),Comedy,/wiki/Comedy_music
Artificial Intelligence (EP),Label,/wiki/Record_label
Artificial Intelligence (EP),independent,/wiki/Independent_record_label
Artificial Intelligence (EP),Producer,/wiki/Record_producer
Artificial Intelligence (EP),Tom Cardy,/wiki/Tom_Cardy
Artificial Intelligence (EP),Tom Cardy,/wiki/Tom_Cardy
Artificial Intelligence (John Cale album),Studio album,/wiki/Album
Artificial Intelligence (John Cale album),John Cale,/wiki/John_Cale
Artificial Intelligence (John Cale album),Shoreditch,/wiki/Shoreditch
Artificial Intelligence (John Cale album),Genre,/wiki/Music_genre
Artificial Intelligence (John Cale album),Pop rock,/wiki/Pop_rock
Artificial Intelligence (John Cale album),new wave,/wiki/New_wave_music
Artificial Intelligence (John Cale album),Label,/wiki/Record_label
Artificial Intelligence (John Cale album),Beggars Banquet,/wiki/Beggars_Banquet_Records
Artificial Intelligence (John Cale album),Producer,/wiki/Record_producer
Artificial Intelligence (John Cale album),John Cale,/wiki/John_Cale
Artificial Intelligence (series),albums,/wiki/Album
Artificial Intelligence (series),Warp Records,/wiki/Warp_Records
Artificial Intelligence (series),electronic music,/wiki/Electronic_music
Artificial Intelligence (series),rave,/wiki/Rave
Artificial Intelligence (series),techno,/wiki/Techno_music
Artificial Intelligence (series),ambient,/wiki/Ambient_music
Artificial Intelligence (series),Alex Paterson,/wiki/The_Orb
Artificial Intelligence (series),Plaid,/wiki/Plaid_(band)
Artificial Intelligence (series),Richard D. James,/wiki/Aphex_Twin
Artificial Intelligence (series),Richie Hawtin,/wiki/Richie_Hawtin
Artificial Intelligence (compilation album),Compilation album,/wiki/Compilation_album
Artificial Intelligence (compilation album),Genre,/wiki/Music_genre
Artificial Intelligence (compilation album),IDM,/wiki/Intelligent_dance_music
Artificial Intelligence (compilation album),ambient techno,/wiki/Ambient_techno
Artificial Intelligence (compilation album),Label,/wiki/Record_label
Artificial Intelligence (compilation album),Warp,/wiki/Warp_(record_label)
Artificial Intelligence (compilation album),Artificial Intelligence,/wiki/Artificial_Intelligence_(series)
Artificial Intelligence (compilation album),Surfing on Sine Waves,/wiki/Surfing_on_Sine_Waves
Artificial Intelligence (compilation album),compilation album,/wiki/Compilation_album
Artificial Intelligence (compilation album),Warp,/wiki/Warp_(record_label)
the Wynona Riders,improve it,/wiki/Special:EditPage/The_Wynona_Riders
the Wynona Riders,talk page,/wiki/Talk:The_Wynona_Riders
the Wynona Riders,Learn how and when to remove these template messages,/wiki/Help:Maintenance_template_removal
the Wynona Riders,notability guideline for music,/wiki/Wikipedia:Notability_(music)
the Wynona Riders,reliable secondary sources,/wiki/Wikipedia:Reliable_sources
the Wynona Riders,independent,/wiki/Wikipedia:Independent_sources
the Wynona Riders,merged,/wiki/Wikipedia:Merging
the Wynona Riders,redirected,/wiki/Wikipedia:Redirect
the Wynona Riders,deleted,/wiki/Wikipedia:Deletion_policy
the Wynona Riders,Learn how and when to remove this message,/wiki/Help:Maintenance_template_removal
Funk All Y'all,Studio album,/wiki/Album
Funk All Y'all,Detroit Grand Pubahs,/wiki/Detroit_Grand_Pubahs
Funk All Y'all,Genre,/wiki/Music_genre
Funk All Y'all,Electro,/wiki/Electro_music
Funk All Y'all,hip hop,/wiki/Hip_hop_music
Funk All Y'all,Detroit techno,/wiki/Detroit_techno
Funk All Y'all,electroclash,/wiki/Electroclash
Funk All Y'all,Label,/wiki/Record_label
Funk All Y'all,Detroit Grand Pubahs,/wiki/Detroit_Grand_Pubahs
Funk All Y'all,Singles,/wiki/Single_(music)
Oh My My,JTR (band),/wiki/JTR_(band)
Oh My My,Studio album,/wiki/Album
Oh My My,OneRepublic,/wiki/OneRepublic
Oh My My,Genre,/wiki/Music_genre
Oh My My,Pop rock,/wiki/Pop_rock
Oh My My,electropop,/wiki/Electropop
Oh My My,Label,/wiki/Record_label
Oh My My,Mosley,/wiki/Mosley_Music_Group
Oh My My,Interscope,/wiki/Interscope_Records
Oh My My,Producer,/wiki/Record_producer
Artificial Intelligence (book),references,/wiki/Wikipedia:Verifiability
Artificial Intelligence (book),primary sources,"/wiki/Wikipedia:No_original_research#Primary,_secondary_and_tertiary_sources"
Artificial Intelligence (book),secondary or tertiary sources,"/wiki/Wikipedia:No_original_research#Primary,_secondary_and_tertiary_sources"
Artificial Intelligence (book),Learn how and when to remove this message,/wiki/Help:Maintenance_template_removal
Artificial Intelligence (book),Patrick Henry Winston,/wiki/Patrick_Winston
Artificial Intelligence (book),Computer science,/wiki/Computer_science
Artificial Intelligence (book),Addison-Wesley,/wiki/Addison-Wesley
Artificial Intelligence (book),ISBN,/wiki/ISBN_(identifier)
Artificial Intelligence (book),0-201-53377-4,/wiki/Special:BookSources/0-201-53377-4
Artificial Intelligence (book),OCLC,/wiki/OCLC_(identifier)
Intelligent agent,Intelligent designer,/wiki/Intelligent_designer
Intelligent agent,intelligent,/wiki/Intelligent
Intelligent agent,perceives its environment,/wiki/Machine_perception
Intelligent agent,autonomously,/wiki/Autonomous
Intelligent agent,learning,/wiki/Machine_learning
Intelligent agent,knowledge,/wiki/Knowledge_representation
Intelligent agent,thermostat,/wiki/Thermostat
Intelligent agent,control system,/wiki/Control_system
Intelligent agent,human being,/wiki/Human_being
Intelligent agent,firm,/wiki/Firm
Intelligent designer,a series,/wiki/Category:Intelligent_design
Intelligent designer,Intelligent design,/wiki/Intelligent_design
Intelligent designer,Watchmaker analogy,/wiki/Watchmaker_analogy
Intelligent designer,Irreducible complexity,/wiki/Irreducible_complexity
Intelligent designer,Specified complexity,/wiki/Specified_complexity
Intelligent designer,Fine-tuned universe,/wiki/Fine-tuned_universe
Intelligent designer,Theistic science,/wiki/Theistic_science
Intelligent designer,Neo-creationism,/wiki/Neo-creationism
Intelligent designer,Movement,/wiki/Intelligent_design_movement
Intelligent designer,Timeline,/wiki/Timeline_of_intelligent_design
intelligent,Intellect,/wiki/Intellect
intelligent,Human intelligence,/wiki/Human_intelligence
intelligent,Intelligence (disambiguation),/wiki/Intelligence_(disambiguation)
intelligent,Psychology,/wiki/Psychology
intelligent,Outline,/wiki/Outline_of_psychology
intelligent,History,/wiki/History_of_psychology
intelligent,Subfields,/wiki/Subfields_of_psychology
intelligent,Basic psychology,/wiki/Basic_science_(psychology)
intelligent,Abnormal,/wiki/Abnormal_psychology
intelligent,Affective neuroscience,/wiki/Affective_neuroscience
perceives its environment,data,/wiki/Data
perceives its environment,humans,/wiki/Human
perceives its environment,senses,/wiki/Sense
perceives its environment,computers,/wiki/Computer
perceives its environment,environment,/wiki/Environment_(systems)
perceives its environment,hardware,/wiki/Electronic_hardware
perceives its environment,input,/wiki/Input_(computer_science)
perceives its environment,software,/wiki/Software
perceives its environment,sensory,/wiki/Sensory_nervous_system
perceives its environment,perception,/wiki/Perception
autonomously,Autonomy (disambiguation),/wiki/Autonomy_(disambiguation)
autonomously,Autonomous (novel),/wiki/Autonomous_(novel)
autonomously,Autotomy,/wiki/Autotomy
autonomously,developmental psychology,/wiki/Developmental_psychology
autonomously,moral,/wiki/Morality
autonomously,political,/wiki/Political
autonomously,bioethical,/wiki/Bioethics
autonomously,philosophy,/wiki/Philosophy
autonomously,organizations,/wiki/Organization
autonomously,institutions,/wiki/Institution
learning,Machine Learning (journal),/wiki/Machine_Learning_(journal)
learning,statistical learning in language acquisition,/wiki/Statistical_learning_in_language_acquisition
learning,data mining,/wiki/Data_mining
learning,Supervised learning,/wiki/Supervised_learning
learning,Unsupervised learning,/wiki/Unsupervised_learning
learning,Online learning,/wiki/Online_machine_learning
learning,Batch learning,/wiki/Batch_learning
learning,Meta-learning,/wiki/Meta-learning_(computer_science)
learning,Semi-supervised learning,/wiki/Semi-supervised_learning
learning,Self-supervised learning,/wiki/Self-supervised_learning
knowledge,artificial intelligence,/wiki/Artificial_intelligence
knowledge,information,/wiki/Information
knowledge,diagnosing a medical condition,/wiki/Computer-aided_diagnosis
knowledge,having a dialog in a natural language,/wiki/Natural_language_user_interface
knowledge,formalisms,/wiki/Formal_system
knowledge,logic,/wiki/Logic
knowledge,semantic nets,/wiki/Semantic_network
knowledge,frames,/wiki/Frame_(artificial_intelligence)
knowledge,rules,/wiki/Rule-based_system
knowledge,logic programs,/wiki/Logic_programming
thermostat,Gas Mark § Other cooking temperature scales,/wiki/Gas_Mark#Other_cooking_temperature_scales
thermostat,verification,/wiki/Wikipedia:Verifiability
thermostat,improve this article,/wiki/Special:EditPage/Thermostat
thermostat,adding citations to reliable sources,/wiki/Help:Referencing_for_beginners
thermostat,Learn how and when to remove this message,/wiki/Help:Maintenance_template_removal
thermostat,Honeywell,/wiki/Honeywell
thermostat,T87,/wiki/Honeywell_T87
thermostat,Smithsonian,/wiki/Smithsonian
thermostat,temperature,/wiki/Temperature
thermostat,physical system,/wiki/Physical_system
control system,Control system (disambiguation),/wiki/Control_system_(disambiguation)
control system,verification,/wiki/Wikipedia:Verifiability
control system,improve this article,/wiki/Special:EditPage/Control_system
control system,adding citations to reliable sources,/wiki/Help:Referencing_for_beginners
control system,Learn how and when to remove this message,/wiki/Help:Maintenance_template_removal
control system,centrifugal governor,/wiki/Centrifugal_governor
control system,proportional control,/wiki/Proportional_control
control system,control loops,/wiki/Control_loop
control system,thermostat,/wiki/Thermostat
control system,industrial control systems,/wiki/Industrial_control_system
human being,Human (disambiguation),/wiki/Human_(disambiguation)
human being,Mankind (disambiguation),/wiki/Mankind_(disambiguation)
human being,Humankind (disambiguation),/wiki/Humankind_(disambiguation)
human being,Human Race (disambiguation),/wiki/Human_Race_(disambiguation)
human being,Human Being (disambiguation),/wiki/Human_Being_(disambiguation)
human being,Homo sapiens (disambiguation),/wiki/Homo_sapiens_(disambiguation)
human being,Person,/wiki/Person
human being,Ma,/wiki/Megaannum
human being,PreꞒ,/wiki/Precambrian
human being,Ꞓ,/wiki/Cambrian
firm,Company (disambiguation),/wiki/Company_(disambiguation)
firm,Firm (disambiguation),/wiki/Firm_(disambiguation)
firm,Corporation,/wiki/Corporation
firm,references,/wiki/Wikipedia:Citing_sources
firm,inline citations,/wiki/Wikipedia:Citing_sources#Inline_citations
firm,improve,/wiki/Wikipedia:WikiProject_Reliability
firm,introducing,/wiki/Wikipedia:When_to_cite
firm,Learn how and when to remove this message,/wiki/Help:Maintenance_template_removal
firm,a series,/wiki/Category:Capitalism
firm,Capitalism,/wiki/Capitalism
Artificial general intelligence,Generative artificial intelligence,/wiki/Generative_artificial_intelligence
Artificial general intelligence,Artificial intelligence,/wiki/Artificial_intelligence
Artificial general intelligence,Major goals,/wiki/Artificial_intelligence#Goals
Artificial general intelligence,Recursive self-improvement,/wiki/Recursive_self-improvement
Artificial general intelligence,Planning,/wiki/Automated_planning_and_scheduling
Artificial general intelligence,Computer vision,/wiki/Computer_vision
Artificial general intelligence,General game playing,/wiki/General_game_playing
Artificial general intelligence,Knowledge reasoning,/wiki/Knowledge_representation_and_reasoning
Artificial general intelligence,Machine learning,/wiki/Machine_learning
Artificial general intelligence,Natural language processing,/wiki/Natural_language_processing
Generative artificial intelligence,Artificial general intelligence,/wiki/Artificial_general_intelligence
Generative artificial intelligence,Théâtre D'opéra Spatial,/wiki/Th%C3%A9%C3%A2tre_D%27op%C3%A9ra_Spatial
Generative artificial intelligence,Midjourney,/wiki/Midjourney
Generative artificial intelligence,artificial intelligence,/wiki/Artificial_intelligence
Generative artificial intelligence,generative models,/wiki/Generative_model
Generative artificial intelligence,prompts,/wiki/Prompt_(natural_language)
Generative artificial intelligence,learn,/wiki/Machine_learning
Generative artificial intelligence,training data,/wiki/Training_data_set
Generative artificial intelligence,transformer,/wiki/Transformer_(machine_learning_model)
Generative artificial intelligence,deep,/wiki/Deep_learning
Major goals,AI (disambiguation),/wiki/AI_(disambiguation)
Major goals,Artificial intelligence (disambiguation),/wiki/Artificial_intelligence_(disambiguation)
Major goals,Intelligent agent,/wiki/Intelligent_agent
Major goals,Artificial general intelligence,/wiki/Artificial_general_intelligence
Major goals,Recursive self-improvement,/wiki/Recursive_self-improvement
Major goals,Planning,/wiki/Automated_planning_and_scheduling
Major goals,Computer vision,/wiki/Computer_vision
Major goals,General game playing,/wiki/General_game_playing
Major goals,Knowledge reasoning,/wiki/Knowledge_representation_and_reasoning
Major goals,Machine learning,/wiki/Machine_learning
Recursive self-improvement,Artificial intelligence,/wiki/Artificial_intelligence
Recursive self-improvement,Major goals,/wiki/Artificial_intelligence#Goals
Recursive self-improvement,Artificial general intelligence,/wiki/Artificial_general_intelligence
Recursive self-improvement,Planning,/wiki/Automated_planning_and_scheduling
Recursive self-improvement,Computer vision,/wiki/Computer_vision
Recursive self-improvement,General game playing,/wiki/General_game_playing
Recursive self-improvement,Knowledge reasoning,/wiki/Knowledge_representation_and_reasoning
Recursive self-improvement,Machine learning,/wiki/Machine_learning
Recursive self-improvement,Natural language processing,/wiki/Natural_language_processing
Recursive self-improvement,Robotics,/wiki/Robotics
Planning,references,/wiki/Wikipedia:Citing_sources
Planning,inline citations,/wiki/Wikipedia:Citing_sources#Inline_citations
Planning,improve,/wiki/Wikipedia:WikiProject_Reliability
Planning,introducing,/wiki/Wikipedia:When_to_cite
Planning,Learn how and when to remove this message,/wiki/Help:Maintenance_template_removal
Planning,Artificial intelligence,/wiki/Artificial_intelligence
Planning,Major goals,/wiki/Artificial_intelligence#Goals
Planning,Artificial general intelligence,/wiki/Artificial_general_intelligence
Planning,Recursive self-improvement,/wiki/Recursive_self-improvement
Planning,Computer vision,/wiki/Computer_vision
Computer vision,Artificial intelligence,/wiki/Artificial_intelligence
Computer vision,Major goals,/wiki/Artificial_intelligence#Goals
Computer vision,Artificial general intelligence,/wiki/Artificial_general_intelligence
Computer vision,Recursive self-improvement,/wiki/Recursive_self-improvement
Computer vision,Planning,/wiki/Automated_planning_and_scheduling
Computer vision,General game playing,/wiki/General_game_playing
Computer vision,Knowledge reasoning,/wiki/Knowledge_representation_and_reasoning
Computer vision,Machine learning,/wiki/Machine_learning
Computer vision,Natural language processing,/wiki/Natural_language_processing
Computer vision,Robotics,/wiki/Robotics
General game playing,Artificial intelligence,/wiki/Artificial_intelligence
General game playing,Major goals,/wiki/Artificial_intelligence#Goals
General game playing,Artificial general intelligence,/wiki/Artificial_general_intelligence
General game playing,Recursive self-improvement,/wiki/Recursive_self-improvement
General game playing,Planning,/wiki/Automated_planning_and_scheduling
General game playing,Computer vision,/wiki/Computer_vision
General game playing,Knowledge reasoning,/wiki/Knowledge_representation_and_reasoning
General game playing,Machine learning,/wiki/Machine_learning
General game playing,Natural language processing,/wiki/Natural_language_processing
General game playing,Robotics,/wiki/Robotics
Knowledge reasoning,artificial intelligence,/wiki/Artificial_intelligence
Knowledge reasoning,information,/wiki/Information
Knowledge reasoning,diagnosing a medical condition,/wiki/Computer-aided_diagnosis
Knowledge reasoning,having a dialog in a natural language,/wiki/Natural_language_user_interface
Knowledge reasoning,formalisms,/wiki/Formal_system
Knowledge reasoning,logic,/wiki/Logic
Knowledge reasoning,semantic nets,/wiki/Semantic_network
Knowledge reasoning,frames,/wiki/Frame_(artificial_intelligence)
Knowledge reasoning,rules,/wiki/Rule-based_system
Knowledge reasoning,logic programs,/wiki/Logic_programming
Natural language processing,verification,/wiki/Wikipedia:Verifiability
Natural language processing,improve this article,/wiki/Special:EditPage/Natural_language_processing
Natural language processing,adding citations to reliable sources,/wiki/Help:Referencing_for_beginners
Natural language processing,Learn how and when to remove this message,/wiki/Help:Maintenance_template_removal
Natural language processing,NLP,/wiki/NLP_(disambiguation)
Natural language processing,Language processing in the brain,/wiki/Language_processing_in_the_brain
Natural language processing,interdisciplinary,/wiki/Interdisciplinary
Natural language processing,computer science,/wiki/Computer_science
Natural language processing,information retrieval,/wiki/Information_retrieval
Natural language processing,natural language,/wiki/Natural_language
