Source Article,Article Title,Link
Intelligent agent,thermostat,/wiki/Thermostat
Intelligent agent,control system,/wiki/Control_system
Intelligent agent,human being,/wiki/Human_being
Intelligent agent,firm,/wiki/Firm
Artificial general intelligence,Generative artificial intelligence,/wiki/Generative_artificial_intelligence
Artificial general intelligence,Artificial intelligence,/wiki/Artificial_intelligence
Artificial general intelligence,Major goals,/wiki/Artificial_intelligence#Goals
Artificial general intelligence,Recursive self-improvement,/wiki/Recursive_self-improvement
Artificial general intelligence,Planning,/wiki/Automated_planning_and_scheduling
Artificial general intelligence,Computer vision,/wiki/Computer_vision
Artificial general intelligence,General game playing,/wiki/General_game_playing
Artificial general intelligence,Knowledge reasoning,/wiki/Knowledge_representation_and_reasoning
Artificial general intelligence,Machine learning,/wiki/Machine_learning
Artificial general intelligence,Natural language processing,/wiki/Natural_language_processing
Recursive self-improvement,Artificial intelligence,/wiki/Artificial_intelligence
Recursive self-improvement,Major goals,/wiki/Artificial_intelligence#Goals
Recursive self-improvement,Artificial general intelligence,/wiki/Artificial_general_intelligence
Recursive self-improvement,Planning,/wiki/Automated_planning_and_scheduling
Recursive self-improvement,Computer vision,/wiki/Computer_vision
Recursive self-improvement,General game playing,/wiki/General_game_playing
Recursive self-improvement,Knowledge reasoning,/wiki/Knowledge_representation_and_reasoning
Recursive self-improvement,Machine learning,/wiki/Machine_learning
Recursive self-improvement,Natural language processing,/wiki/Natural_language_processing
Recursive self-improvement,Robotics,/wiki/Robotics
Planning,references,/wiki/Wikipedia:Citing_sources
Planning,inline citations,/wiki/Wikipedia:Citing_sources#Inline_citations
Planning,improve,/wiki/Wikipedia:WikiProject_Reliability
Planning,introducing,/wiki/Wikipedia:When_to_cite
Planning,Learn how and when to remove this message,/wiki/Help:Maintenance_template_removal
Planning,Artificial intelligence,/wiki/Artificial_intelligence
Planning,Major goals,/wiki/Artificial_intelligence#Goals
Planning,Artificial general intelligence,/wiki/Artificial_general_intelligence
Planning,Recursive self-improvement,/wiki/Recursive_self-improvement
Planning,Computer vision,/wiki/Computer_vision
Computer vision,Artificial intelligence,/wiki/Artificial_intelligence
Computer vision,Major goals,/wiki/Artificial_intelligence#Goals
Computer vision,Artificial general intelligence,/wiki/Artificial_general_intelligence
Computer vision,Recursive self-improvement,/wiki/Recursive_self-improvement
Computer vision,Planning,/wiki/Automated_planning_and_scheduling
Computer vision,General game playing,/wiki/General_game_playing
Computer vision,Knowledge reasoning,/wiki/Knowledge_representation_and_reasoning
Computer vision,Machine learning,/wiki/Machine_learning
Computer vision,Natural language processing,/wiki/Natural_language_processing
Computer vision,Robotics,/wiki/Robotics
General game playing,Artificial intelligence,/wiki/Artificial_intelligence
General game playing,Major goals,/wiki/Artificial_intelligence#Goals
General game playing,Artificial general intelligence,/wiki/Artificial_general_intelligence
General game playing,Recursive self-improvement,/wiki/Recursive_self-improvement
General game playing,Planning,/wiki/Automated_planning_and_scheduling
General game playing,Computer vision,/wiki/Computer_vision
General game playing,Knowledge reasoning,/wiki/Knowledge_representation_and_reasoning
General game playing,Machine learning,/wiki/Machine_learning
General game playing,Natural language processing,/wiki/Natural_language_processing
General game playing,Robotics,/wiki/Robotics
Knowledge reasoning,artificial intelligence,/wiki/Artificial_intelligence
Knowledge reasoning,information,/wiki/Information
Knowledge reasoning,diagnosing a medical condition,/wiki/Computer-aided_diagnosis
Knowledge reasoning,having a dialog in a natural language,/wiki/Natural_language_user_interface
Knowledge reasoning,formalisms,/wiki/Formal_system
Knowledge reasoning,logic,/wiki/Logic
Knowledge reasoning,semantic nets,/wiki/Semantic_network
Knowledge reasoning,frames,/wiki/Frame_(artificial_intelligence)
Knowledge reasoning,rules,/wiki/Rule-based_system
Knowledge reasoning,logic programs,/wiki/Logic_programming
Machine learning,Machine Learning (journal),/wiki/Machine_Learning_(journal)
Machine learning,statistical learning in language acquisition,/wiki/Statistical_learning_in_language_acquisition
Machine learning,data mining,/wiki/Data_mining
Machine learning,Supervised learning,/wiki/Supervised_learning
Machine learning,Unsupervised learning,/wiki/Unsupervised_learning
Machine learning,Online learning,/wiki/Online_machine_learning
Machine learning,Batch learning,/wiki/Batch_learning
Machine learning,Meta-learning,/wiki/Meta-learning_(computer_science)
Machine learning,Semi-supervised learning,/wiki/Semi-supervised_learning
Machine learning,Self-supervised learning,/wiki/Self-supervised_learning
